percentage yield,gravity,vapour pressure,ten percent distillation point,fraction end point,boiling_range,yield_to_gravity,pressure_to_gravity
6.9,38.4,6.1,220,235,15,0.17968750000000003,0.15885416666666666
14.4,40.3,4.8,231,307,76,0.35732009925558317,0.11910669975186104
7.4,40.0,6.1,217,212,-5,0.185,0.1525
8.5,31.8,0.2,316,365,49,0.2672955974842767,0.006289308176100629
8.0,40.8,3.5,210,218,8,0.19607843137254904,0.0857843137254902
2.8,41.3,1.8,267,235,-32,0.06779661016949153,0.04358353510895884
5.0,38.1,1.2,274,285,11,0.13123359580052493,0.031496062992125984
12.2,50.8,8.6,190,205,15,0.24015748031496062,0.16929133858267717
10.0,32.2,5.2,236,267,31,0.3105590062111801,0.16149068322981366
15.2,38.4,6.1,220,300,80,0.3958333333333333,0.15885416666666666
26.8,40.3,4.8,231,367,136,0.6650124069478909,0.11910669975186104
14.0,32.2,2.4,284,351,67,0.43478260869565216,0.07453416149068322
14.7,31.8,0.2,316,379,63,0.4622641509433962,0.006289308176100629
6.4,41.3,1.8,267,275,8,0.1549636803874092,0.04358353510895884
17.6,38.1,1.2,274,365,91,0.46194225721784776,0.031496062992125984
22.3,50.8,8.6,190,275,85,0.43897637795275596,0.16929133858267717
24.8,32.2,5.2,236,360,124,0.7701863354037266,0.16149068322981366
26.0,38.4,6.1,220,365,145,0.6770833333333334,0.15885416666666666
34.9,40.3,4.8,231,395,164,0.8660049627791564,0.11910669975186104
18.2,40.0,6.1,217,272,55,0.45499999999999996,0.1525
23.2,32.2,2.4,284,424,140,0.7204968944099378,0.07453416149068322
18.0,31.8,0.2,316,428,112,0.5660377358490566,0.006289308176100629
13.1,40.8,3.5,210,273,63,0.32107843137254904,0.0857843137254902
16.1,41.3,1.8,267,358,91,0.38983050847457634,0.04358353510895884
32.1,38.1,1.2,274,444,170,0.8425196850393701,0.031496062992125984
34.7,50.8,8.6,190,345,155,0.6830708661417324,0.16929133858267717
31.7,32.2,5.2,236,402,166,0.9844720496894409,0.16149068322981366
33.6,38.4,6.1,220,410,190,0.8750000000000001,0.15885416666666666
30.4,40.0,6.1,217,340,123,0.76,0.1525
26.6,40.8,3.5,210,347,137,0.6519607843137256,0.0857843137254902
27.8,41.3,1.8,267,416,149,0.6731234866828087,0.04358353510895884
45.7,50.8,8.6,190,407,217,0.8996062992125985,0.16929133858267717
